"Street_Name","Cross_Street"
"Massachusetts Ave","PEARL ST"
"KINNAIRD ST","Putnam Ave"
"Massachusetts Ave",""
"Windsor St",""
"Western Ave","Massachusetts Ave"
"Museum Way",""
"Market St",""
"JFK St","Brattle St"
"Hampshire St",""
"Cottage St","River St"
"Massachusetts Ave","Vassar St"
"Market St",""
"Concord Ave",""
"Massachusetts Ave","MAGOUN ST"
"Massachusetts Ave","Upland Rd"
"MAIN ST","Portland St"
"MAGAZINE ST",""
"Massachusetts Ave","Inman St"
"GREEN ST",""
"Concord Ave","Alpine St"
"Concord Ave","MOULTON ST"
"Rindge Ave",""
"Alewife Brook Pky",""
"Putnam Ave",""
"MEMORIAL DR","Vassar St"
"GARDEN ST","MASON ST"
"Massachusetts Ave","Upland Rd"
"Magee St",""
"Cambridgeside Pl",""
"PEMBERTON ST","Pemberton Ter"
"JEFFERSON ST","MARION ST"
"MATIGNON RD",""
"Cambridgeside Pl",""
"Massachusetts Ave","Windsor St"
"Inman St",""
"Rindge Ave","Clifton St"
"HARVARD ST",""
"PROSPECT ST","Massachusetts Ave"
"Cambridgeside Pl",""
"Putnam Ave",""
"Cambridge St","SUMNER RD"
"HARVARD ST","Boardman Pl"
"Cambridge St","ROBERTS RD"
"Massachusetts Ave",""
"Sidney St","H"
"Massachusetts Ave","PLYMPTON ST"
"OXFORD AVE","EVERETT ST"
"Church St",""
"Ames St","Amherst St"
"Massachusetts Ave","Landsdowne St"
"Brattle St","LEXINGTON AVE"
"Massachusetts Ave","DOUGLASS ST"
"Cambridge St","ROBERTS RD"
"Putnam Ave",""
"PINE ST",""
"Berkshire St",""
"Walden St","SAVILLE ST"
"Blake St","Massachusetts Ave"
"Massachusetts Ave","EVERETT ST"
"Walden St","HUBBARD AVE"
"EVERETT ST",""
"FULKERSON ST","Otis St"
"Binney St","Third St"
"Blackstone St",""
"Massachusetts Ave",""
"Blanchard Rd","Concord Ave"
"MIFFLIN PL","MOUNT AUBURN ST"
"REED ST","DUDLEY ST"
"Cambridge St","Warren St"
"Cambridge St","PROSPECT ST"
"ELM ST","Hampshire St"
"Hampshire St","Tremont St"
"Broadway","Norfolk St"
"ROSELAND ST","Massachusetts Ave"
"Hampshire St","Norfolk St"
"Alewife Brook Pky",""
"JFK St","Winthrop Sq"
"Brattle St",""
"Binney St","Broadway"
"Dana St","Broadway"
"ELIOT ST","Bennett St"
"Massachusetts Ave","LINNAEAN ST"
"Cambridge Ctr",""
"Cambridge St","ROBERTS RD"
"HURON AVE","Sparks St"
"Webster Ave","ELM ST"
"Cambridge St",""
"Rindge Ave",""
"Western Ave","HOWARD ST"
"Massachusetts Ave","Amherst St"
"Massachusetts Ave",""
"Ballord Pl",""
"MAGAZINE ST","Chestnut St"
"Massachusetts Ave","GARDEN ST"
"Broadway","West Pl"
"Windsor St",""
"Bennett St",""
"River St","Franklin St"
"MOUNT AUBURN ST",""
"HURON AVE",""
"Massachusetts Ave","Rindge Ave"
"Sidney St","Tudor St"
"Massachusetts Ave","Church St"
"Washburn Ave",""
"Belmont St","FRANCES PL"
"MAIN ST","Bishop Allen Dr"
"PLEASANT ST","MEMORIAL DR"
"Massachusetts Ave","FOREST ST"
"Western Ave","Auburn St"
"Massachusetts Ave",""
"SHERMAN ST",""
"",""
"RICHARD AVE",""
"River St","Putnam Ave"
"HARVARD ST","HANCOCK ST"
"Galileo Galilei Way","MAIN ST"
"Windsor St",""
"DOUGLASS ST",""
"Cambridge St","Windsor St"
"Cambridgeside Pl",""
"Broadway","ELLERY ST"
"Massachusetts Ave",""
"Berkshire St",""
"HARVARD ST",""
"SMITH PL",""
"White St",""
"HURON AVE",""
"MOUNT AUBURN ST",""
"Lawn St",""
"MOUNT AUBURN ST",""
"MAGAZINE ST","Lawrence St"
"Alewife Brook Pky",""
"PEARL ST",""
"Creighton St",""
"Brattle St","JFK St"
"Cambridgeside Pl",""
"Broadway","PROSPECT ST"
"",""
"Broadway",""
"SCIARAPPA ST",""
"MOUNT AUBURN ST","HOLWORTHY ST"
"Massachusetts Ave",""
"JFK St","MOUNT AUBURN ST"
"Massachusetts Ave","STATE ST"
"ELIOT ST",""
"Massachusetts Ave","PEARL ST"
"Sixth St","Cambridge St"
"Brattle St","JFK St"
"Third St",""
"Massachusetts Ave","GARDEN ST"
"Clifton St",""
"Washington Ave","Portland St"
"Cambridgeside Pl",""
"Cambridgeside Pl",""
"Fairmont Ave",""
"HURON AVE","Appleton St"
"SPRING ST","Third St"
"MOUNT AUBURN ST","Putnam Ave"
"Massachusetts Ave","Porter Rd"
"Concord Ave",""
"Massachusetts Ave","Shepard St"
"Craigie St",""
"Clifton St",""
"Rindge Ave","SARGENT ST"
"GARDEN ST","Appian Way"
"Rindge Ave",""
"Bishop Allen Dr",""
"FIFTH ST","Thorndike St"
"Broadway","Ames St"
"Camp St",""
"HURON AVE","Appleton Pl"
"Hampshire St","PROSPECT ST"
"Massachusetts Ave","Amherst St"
"Massachusetts Ave",""
"Robinson St",""
"Raymond St","GRAY GARDENS EAST"
"Albany St","PACIFIC ST"
"Third St","Binney St"
"Alewife Brook Pky",""
"Second St",""
"Massachusetts Ave",""
"Dana St",""
"Cambridge St","Hampshire St"
"Second St",""
"Broadway",""
"Cambridge St","QUINCY ST"
"Brookline St","GREEN ST"
"Massachusetts Ave","FRONT ST"
"Bishop Allen Dr",""
"PLYMOUTH ST","Webster Ave"
"River St",""
"Broadway",""
"Massachusetts Ave","Inman St"
"Walden St",""
"Church St",""
"JFK St",""
"River St",""
"Massachusetts Ave","ESSEX ST"
"Allston St","PEARL ST"
"Broadway","Binney St"
"Massachusetts Ave","DOVER ST"
"MOUNT AUBURN ST",""
"Massachusetts Ave","DAVENPORT ST"
"Monsignor OBrien Hwy",""
"Cambridgeside Pl",""
"Massachusetts Ave",""
"SCIARAPPA ST",""
"Broadway","Columbia St"
"Western Ave","Blackstone St"
"Allston St","PLEASANT ST"
"Ames St","Amherst St"
"Jackson St","Rindge Ave"
"Putnam Ave","Brookline St"
"Western Ave","Blackstone St"
"Vassar St",""
"Sidney St","PACIFIC ST"
"Windsor St",""
"Massachusetts Ave","Cedar St"
"LINNAEAN ST","Massachusetts Ave"
"Blanchard Rd","Concord Ave"
"Massachusetts Ave","DAVENPORT ST"
"Rindge Ave","REED ST"
"Porter St",""
"Sixth St","Rogers St"
"JFK St","ELIOT ST"
"Massachusetts Ave","JARVIS ST"
"Hampshire St",""
"Massachusetts Ave","HARVARD SQ"
"Cambridge St","Cardinal Medeiros Ave"
"Cambridge St","Windsor St"
"Putnam Ave","River St"
"Massachusetts Ave",""
"Sidney St","ERIE ST"
"Putnam Ave","GREEN ST"
"Brattle St",""
"Western Ave","HOWARD ST"
"Bishop Allen Dr","Columbia St"
"DUNSTER ST",""
"Berkshire St",""
"Rice St",""
"Massachusetts Ave",""
"GRANT ST",""
"HOWARD ST","KINNAIRD ST"
"Hampshire St","Windsor St"
"Ware St",""
"Broadway","PRESCOTT ST"
"Sidney St","ERIE ST"
"FLAGG ST",""
"Putnam Ave",""
"Cambridge St","Willow St"
"Hampshire St",""
"Vassar St","Massachusetts Ave"
"Second St",""
"GARDEN ST","Walden St"
"SPRING PL","Third St"
"Terminal Rd",""
"PROSPECT ST","Broadway"
"Putnam Ave",""
"Massachusetts Ave",""
"Alewife Brook Pky",""
"Cambridge St","FIRST ST"
"PEARL ST",""
"Brattle St","HILLIARD ST"
"Massachusetts Ave","DAY ST"
"Massachusetts Ave","HARVARD SQ"
"KIRKLAND ST",""
"KIRKLAND ST",""
"Fresh Pond Ln",""
"Cambridge St",""
"GARDEN ST","Robinson St"
5,"Columbia St"
"Cambridge St","Third St"
"Massachusetts Ave",""
"Belmont St","MOUNT AUBURN ST"
"DUNSTER ST",""
"Sidney St","Putnam Ave"
"Washington Ave","Norfolk St"
"PROSPECT ST",""
"MOUNT AUBURN ST",""
"York St",""
"Broadway","Antrim St"
"Hampshire St","Broadway"
"Massachusetts Ave","EXETER PARK"
"JFK St",""
"PLYMOUTH ST","MOUNT AUBURN ST"
"Third St","Gore St"
"Massachusetts Ave","Windsor St"
"Massachusetts Ave","Vassar St"
"OXFORD AVE",""
"MOUNT AUBURN ST",""
"HURON AVE",""
"Massachusetts Ave",""
"Broadway","Ames St"
"Third St","SPRING ST"
"SMITH PL","Concord Ave"
"RESERVOIR ST",""
"Alewife Brook Pky",""
"Monsignor OBrien Hwy",""
"Concord Ave","SMITH PL"
"Hampshire St",""
"Cambridge St","FAYETTE ST"
"Second St","Otis St"
"Massachusetts Ave",""
"Massachusetts Ave",""
"Binney St","FULKERSON ST"
"Norfolk St","SUFFOLK ST"
"Western Ave","Blackstone St"
"Norfolk St",""
"MEMORIAL DR","Vassar St"
"Valentine St","PEARL ST"
"Gore St","SCIARAPPA ST"
"H","AMMOND ST"
"GARDEN ST","Walden St"
"GARFIELD ST",""
"GREEN ST",""
"MOUNT AUBURN ST","LOWELL ST"
"MOUNT AUBURN ST","Brattle St"
"Cambridge St","Antrim St"
"ORRIN ST",""
"PLEASANT ST","Allston St"
"Broadway","MAPLE AVE"
"Rogers St",""
"Thorndike St",""
"Cambridge St","PROSPECT ST"
"Broadway","PROSPECT ST"
"Cambridge St",""
"Massachusetts Ave","GARDEN ST"
"SHERMAN ST",""
"Washington St",""
"Cambridge St","LINE ST"
"MEMORIAL DR","Vassar St"
"PROSPECT ST",""
"Bigelow St","Doyle Way"
"Willow St",""
"Massachusetts Ave",""
"Cambridge St","Cardinal Medeiros Ave"
"Massachusetts Ave",""
"Rindge Ave","MIDDLESEX ST"
"Brattle St","Brown St"
"MOUNT AUBURN ST","Willard St Ct"
"OXFORD AVE",""
"Concord Ave",""
"RESERVOIR ST","HURON AVE"
"ELIOT ST","JFK St"
"LINNAEAN ST",""
"Massachusetts Ave","DUNSTER ST"
"GARDEN ST",""
"Massachusetts Ave","Concord Ave"
"GREEN ST","HANCOCK ST"
"Western Ave",""
"FIFTH ST","Rogers St"
"Massachusetts Ave","Hollis St"
"MAGAZINE ST","GREEN ST"
"Massachusetts Ave","Blake St"
"Rindge Ave",""
"MAGAZINE ST","William St"
"Crawford St","Chatham St"
"GREEN ST",""
"Western Ave",""
"Kendall Sq",""
"Concord Ave",""
"Third St","Gore St"
"Massachusetts Ave",""
"Inman St",""
"Brookline St","Massachusetts Ave"
"Massachusetts Ave","PEARL ST"
"Bellis Cir",""
"Massachusetts Ave","GOLD STAR RD"
"Cambridge St","PROSPECT ST"
"Brookline St","Allston St"
"HURLEY ST",""
"Massachusetts Ave",""
"MEMORIAL DR",""
"Cambridge St","FIFTH ST"
"KINNAIRD ST","Western Ave"
"Cambridge St","Cardinal Medeiros Ave"
"MAIN ST","Vassar St"
"LINE ST",""
"Broadway","HANCOCK ST"
