"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
29314,6,23,2013,"04:37:00","AM","Sunday","Auto","Auto",178,"HARVARD ST","","178 HARVARD ST Cambridge, MA"
24239,5,23,2010,"04:40:00","AM","Sunday","Auto","Parked Vehicle",389,"HARVARD ST","","389 HARVARD ST Cambridge, MA"
25308,1,8,2011,"04:49:00","AM","Saturday","Auto","Fixed Object","","Waverly St","ERIE ST"," Waverly St & ERIE ST Cambridge, MA"
26305,8,3,2011,"04:54:00","AM","Wednesday","Auto","Pedestrian",241,"Cambridge St","","241 Cambridge St Cambridge, MA"
25269,1,1,2011,"05:00:00","AM","Saturday","Auto","Auto",158,"Hampshire St","","158 Hampshire St Cambridge, MA"
25574,2,13,2011,"05:00:00","AM","Sunday","Auto","Taxi",77,"Massachusetts Ave","Vassar St","77 Massachusetts Ave Cambridge, MA"
26964,12,21,2011,"05:00:00","AM","Wednesday","Auto","Parked Vehicle",85,"Gore St","","85 Gore St Cambridge, MA"
29499,8,8,2013,"05:00:00","AM","Thursday","Auto","Auto",51,"Clifton St","","51 Clifton St Cambridge, MA"
29905,11,8,2013,"05:00:00","AM","Friday","Auto","Parked Vehicle",23,"EDMUNDS ST","","23 EDMUNDS ST Cambridge, MA"
24612,8,14,2010,"05:05:00","AM","Saturday","Auto","Auto",1,"PALERMO ST","","1 PALERMO ST Cambridge, MA"
31700,12,19,2012,"05:05:00","AM","","Auto","Taxi","","Sidney St","GREEN ST"," Sidney St & GREEN ST Cambridge, MA"
26514,9,20,2011,"05:10:00","AM","Tuesday","Auto","Auto","","Binney St","Sixth St"," Binney St & Sixth St Cambridge, MA"
28802,2,23,2013,"05:10:00","AM","Saturday","Auto","Parked Vehicle",173,"Bent St","","173 Bent St Cambridge, MA"
26433,9,1,2011,"05:15:00","AM","Thursday","Auto","Auto","","Third St","Gore St"," Third St & Gore St Cambridge, MA"
30095,12,22,2013,"05:16:00","AM","Sunday","Auto","Fixed Object",580,"MOUNT AUBURN ST","","580 MOUNT AUBURN ST Cambridge, MA"
25062,11,12,2010,"05:20:00","AM","Friday","Auto","Auto",139,"","Putnam Ave",""
24387,6,26,2010,"05:30:00","AM","Saturday","Auto","Parked Vehicle",44,"Second St","","44 Second St Cambridge, MA"
24392,6,26,2010,"05:30:00","AM","Saturday","Auto","Parked Vehicle",44,"Second St","","44 Second St Cambridge, MA"
28977,4,11,2013,"05:30:00","AM","Thursday","Auto","Taxi","","PROSPECT ST","Broadway"," PROSPECT ST & Broadway Cambridge, MA"
29063,5,2,2013,"05:30:00","AM","Thursday","Auto","Auto","","Columbia St","Bishop Allen Dr"," Columbia St & Bishop Allen Dr Cambridge, MA"
29241,6,6,2013,"05:30:00","AM","Tuesday","Auto","Parked Vehicle","","FLORENCE ST","MAGAZINE ST"," FLORENCE ST & MAGAZINE ST Cambridge, MA"
29376,7,10,2013,"05:30:00","AM","Wednesday","Auto","Parked Vehicle","","Cambridge St","Third St"," Cambridge St & Third St Cambridge, MA"
25517,2,8,2011,"05:32:00","AM","Tuesday","Auto","Auto",1,"JAY ST","","1 JAY ST Cambridge, MA"
24014,4,7,2010,"05:33:00","AM","Wednesday","Auto","Auto","","PLEASANT ST",""," PLEASANT ST &  Cambridge, MA"
30637,4,21,2012,"05:34:00","AM","Saturday","Auto","Auto",83,"Trowbridge St","","83 Trowbridge St Cambridge, MA"
31381,10,5,2012,"05:36:00","AM","Friday","Auto","Moped","","Broadway","Hampshire St"," Broadway & Hampshire St Cambridge, MA"
24222,5,20,2010,"05:37:00","AM","Thursday","Auto","Auto","","Concord Ave","Alpine St"," Concord Ave & Alpine St Cambridge, MA"
25375,1,18,2011,"05:40:00","AM","Tuesday","Truck","Bicycle","","JFK St",""," JFK St &  Cambridge, MA"
30865,6,5,2012,"05:42:00","AM","Saturday","Auto","Auto","","Massachusetts Ave","Vassar St"," Massachusetts Ave & Vassar St Cambridge, MA"
30669,4,28,2012,"05:45:00","AM","Saturday","Auto","Parked Vehicle",1621,"Cambridge St","","1621 Cambridge St Cambridge, MA"
23767,2,5,2010,"05:50:00","AM","Friday","Truck","Auto","","DAVENPORT ST",""," DAVENPORT ST &  Cambridge, MA"
30899,6,13,2012,"05:50:00","AM","Wednesday","Auto","Fixed Object",32,"QUINCY ST","","32 QUINCY ST Cambridge, MA"
31064,7,28,2012,"05:54:00","AM","Saturday","Auto","Auto","","PROSPECT ST","Cambridge St"," PROSPECT ST & Cambridge St Cambridge, MA"
