"Month","Day","Year","Location","Object_1","Object_2","Events"
2,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Auto","Auto",""
2,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Auto","Auto",""
2,9,2010,"110 MOUNT AUBURN ST Cambridge, MA","Auto","Auto",""
2,9,2010,"110 MOUNT AUBURN ST Cambridge, MA","Auto","Auto",""
2,10,2010,"397 Walden St Cambridge, MA","Auto","Auto","Rain-Snow"
2,10,2010,"397 Walden St Cambridge, MA","Auto","Auto","Rain-Snow"
2,10,2010," Second St & Charles St Cambridge, MA","Auto","Auto","Rain-Snow"
2,10,2010," Second St & Charles St Cambridge, MA","Auto","Auto","Rain-Snow"
2,10,2010,"15 Inman St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
2,10,2010,"15 Inman St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
2,10,2010," JFK St & MOUNT AUBURN ST Cambridge, MA","Auto","Auto","Rain-Snow"
2,10,2010," JFK St & MOUNT AUBURN ST Cambridge, MA","Auto","Auto","Rain-Snow"
2,9,2010,"221 MOUNT AUBURN ST Cambridge, MA","Auto","Pedestrian",""
2,9,2010,"221 MOUNT AUBURN ST Cambridge, MA","Auto","Pedestrian",""
1,11,2010," Broadway & FELTON ST Cambridge, MA","Auto","Auto",""
1,11,2010," Broadway & FELTON ST Cambridge, MA","Auto","Auto",""
2,11,2010," Broadway & Antrim St Cambridge, MA","Auto","Auto",""
2,11,2010," Broadway & Antrim St Cambridge, MA","Auto","Auto",""
2,11,2010,"1572 Massachusetts Ave Cambridge, MA","Auto","Parked Vehicle",""
2,11,2010,"1572 Massachusetts Ave Cambridge, MA","Auto","Parked Vehicle",""
2,11,2010,"78 Coolidge Ave Cambridge, MA","Auto","Fixed Object",""
2,11,2010,"78 Coolidge Ave Cambridge, MA","Auto","Fixed Object",""
2,11,2010,"89 Inman St Cambridge, MA","Auto","Parked Vehicle",""
