"id","Month","Day","Year","Location","Events"
24300,6,5,2010," River St & Franklin St Cambridge, MA","Rain-Thunderstorm"
24301,6,5,2010,"551 MOUNT AUBURN ST Cambridge, MA","Rain-Thunde"
24301,6,5,2010,"551 MOUNT AUBURN ST Cambridge, MA","Rain-Thunderstorm"
24302,6,5,2010,"132 HURON AVE Cambridge, MA","Rain-Thunde"
24302,6,5,2010,"132 HURON AVE Cambridge, MA","Rain-Thunderstorm"
24303,6,5,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Rain-Thunde"
24303,6,5,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Rain-Thunderstorm"
24304,6,5,2010," Sidney St & Tudor St Cambridge, MA","Rain-Thunde"
24304,6,5,2010," Sidney St & Tudor St Cambridge, MA","Rain-Thunderstorm"
24305,6,6,2010," Massachusetts Ave & Church St Cambridge, MA","Rain-Thunde"
24305,6,6,2010," Massachusetts Ave & Church St Cambridge, MA","Rain-Thunderstorm"
24306,6,3,2010,"36 Washburn Ave Cambridge, MA","Fog-Rain-Th"
24306,6,3,2010,"36 Washburn Ave Cambridge, MA","Fog-Rain-Thunderstorm"
24307,6,4,2010," Belmont St & FRANCES PL Cambridge, MA","Fog"
24307,6,4,2010," Belmont St & FRANCES PL Cambridge, MA","Fog"
24308,6,7,2010," MAIN ST & Bishop Allen Dr Cambridge, MA",""
24308,6,7,2010," MAIN ST & Bishop Allen Dr Cambridge, MA",""
24309,6,7,2010,"777 PLEASANT ST Cambridge, MA",""
24309,6,7,2010,"777 PLEASANT ST Cambridge, MA",""
24310,6,7,2010," Massachusetts Ave & FOREST ST Cambridge, MA",""
24310,6,7,2010," Massachusetts Ave & FOREST ST Cambridge, MA",""
24311,6,8,2010," Western Ave & Auburn St Cambridge, MA",""
24311,6,8,2010," Western Ave & Auburn St Cambridge, MA",""
24312,6,8,2010,"620 Massachusetts Ave Cambridge, MA",""
24312,6,8,2010,"620 Massachusetts Ave Cambridge, MA",""
24315,6,6,2010,"99 SHERMAN ST Cambridge, MA","Rain-Thunde"
24315,6,6,2010,"99 SHERMAN ST Cambridge, MA","Rain-Thunderstorm"
24316,6,6,2010,"  &  Cambridge, MA","Rain-Thunde"
24316,6,6,2010,"  &  Cambridge, MA","Rain-Thunderstorm"
24317,6,7,2010,"8 RICHARD AVE Cambridge, MA",""
24317,6,7,2010,"8 RICHARD AVE Cambridge, MA",""
24318,6,8,2010," River St & Putnam Ave Cambridge, MA",""
24318,6,8,2010," River St & Putnam Ave Cambridge, MA",""
24319,6,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Rain"
24319,6,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Rain"
24320,6,9,2010," Galileo Galilei Way & MAIN ST Cambridge, MA","Rain"
24320,6,9,2010," Galileo Galilei Way & MAIN ST Cambridge, MA","Rain"
24323,6,8,2010," Windsor St &  Cambridge, MA",""
24323,6,8,2010," Windsor St &  Cambridge, MA",""
24324,6,10,2010,"8 DOUGLASS ST Cambridge, MA","Rain"
24324,6,10,2010,"8 DOUGLASS ST Cambridge, MA","Rain"
24325,6,10,2010," Cambridge St & Windsor St Cambridge, MA","Rain"
24325,6,10,2010," Cambridge St & Windsor St Cambridge, MA","Rain"
24326,6,10,2010," Cambridgeside Pl &  Cambridge, MA","Rain"
24326,6,10,2010," Cambridgeside Pl &  Cambridge, MA","Rain"
24327,6,10,2010," Broadway & ELLERY ST Cambridge, MA","Rain"
24327,6,10,2010," Broadway & ELLERY ST Cambridge, MA","Rain"
24328,6,10,2010,"2585 Massachusetts Ave Cambridge, MA","Rain"
24328,6,10,2010,"2585 Massachusetts Ave Cambridge, MA","Rain"
24329,6,11,2010,"122 Berkshire St Cambridge, MA",""
24329,6,11,2010,"122 Berkshire St Cambridge, MA",""
24330,6,11,2010,"195 HARVARD ST Cambridge, MA",""
24330,6,11,2010,"195 HARVARD ST Cambridge, MA",""
24331,6,11,2010,"25 SMITH PL Cambridge, MA",""
24331,6,11,2010,"25 SMITH PL Cambridge, MA",""
24332,6,11,2010,"18 White St Cambridge, MA",""
24332,6,11,2010,"18 White St Cambridge, MA",""
24333,6,11,2010,"372 HURON AVE Cambridge, MA",""
24333,6,11,2010,"372 HURON AVE Cambridge, MA",""
24334,6,11,2010,"589 MOUNT AUBURN ST Cambridge, MA",""
24334,6,11,2010,"589 MOUNT AUBURN ST Cambridge, MA",""
24335,6,11,2010,"53 Lawn St Cambridge, MA",""
24335,6,11,2010,"53 Lawn St Cambridge, MA",""
24336,6,12,2010,"699 MOUNT AUBURN ST Cambridge, MA","Rain"
24336,6,12,2010,"699 MOUNT AUBURN ST Cambridge, MA","Rain"
24337,6,12,2010," MAGAZINE ST & Lawrence St Cambridge, MA","Rain"
24337,6,12,2010," MAGAZINE ST & Lawrence St Cambridge, MA","Rain"
24338,6,13,2010,"209 Alewife Brook Pky Cambridge, MA","Fog-Rain"
24338,6,13,2010,"209 Alewife Brook Pky Cambridge, MA","Fog-Rain"
24339,6,13,2010," PEARL ST &  Cambridge, MA","Fog-Rain"
24339,6,13,2010," PEARL ST &  Cambridge, MA","Fog-Rain"
24340,6,14,2010,"32 Creighton St Cambridge, MA","Rain"
24340,6,14,2010,"32 Creighton St Cambridge, MA","Rain"
24341,6,14,2010,"19 Brattle St Cambridge, MA","Rain"
24341,6,14,2010,"19 Brattle St Cambridge, MA","Rain"
24342,6,13,2010,"100 Cambridgeside Pl Cambridge, MA","Fog-Rain"
24342,6,13,2010,"100 Cambridgeside Pl Cambridge, MA","Fog-Rain"
24343,2,5,2010," Broadway & PROSPECT ST Cambridge, MA",""
24343,2,5,2010," Broadway & PROSPECT ST Cambridge, MA",""
24344,4,16,2010,"  &  Cambridge, MA","Rain"
24344,4,16,2010,"  &  Cambridge, MA","Rain"
24345,5,10,2010,"491 Broadway Cambridge, MA",""
24345,5,10,2010,"491 Broadway Cambridge, MA",""
24347,6,15,2010,"102 SCIARAPPA ST Cambridge, MA",""
24347,6,15,2010,"102 SCIARAPPA ST Cambridge, MA",""
24348,6,15,2010," MOUNT AUBURN ST & HOLWORTHY ST Cambridge, MA",""
24348,6,15,2010," MOUNT AUBURN ST & HOLWORTHY ST Cambridge, MA",""
24349,6,15,2010,"319 Massachusetts Ave Cambridge, MA",""
24349,6,15,2010,"319 Massachusetts Ave Cambridge, MA",""
24350,6,11,2010," JFK St & MOUNT AUBURN ST Cambridge, MA",""
24350,6,11,2010," JFK St & MOUNT AUBURN ST Cambridge, MA",""
24351,6,16,2010," Massachusetts Ave & STATE ST Cambridge, MA",""
24351,6,16,2010," Massachusetts Ave & STATE ST Cambridge, MA",""
24352,6,13,2010,"10 ELIOT ST Cambridge, MA","Fog-Rain"
24352,6,13,2010,"10 ELIOT ST Cambridge, MA","Fog-Rain"
24353,6,16,2010," Massachusetts Ave & PEARL ST Cambridge, MA",""
24353,6,16,2010," Massachusetts Ave & PEARL ST Cambridge, MA",""
24354,6,17,2010," Sixth St & Cambridge St Cambridge, MA",""
24354,6,17,2010," Sixth St & Cambridge St Cambridge, MA",""
24355,6,10,2010," Brattle St & JFK St Cambridge, MA","Rain"
24355,6,10,2010," Brattle St & JFK St Cambridge, MA","Rain"
24356,6,17,2010,"5 Third St Cambridge, MA",""
24356,6,17,2010,"5 Third St Cambridge, MA",""
24357,6,11,2010," Massachusetts Ave & GARDEN ST Cambridge, MA",""
24357,6,11,2010," Massachusetts Ave & GARDEN ST Cambridge, MA",""
24358,6,18,2010,"89 Clifton St Cambridge, MA",""
24358,6,18,2010,"89 Clifton St Cambridge, MA",""
24359,6,18,2010," Washington Ave & Portland St Cambridge, MA",""
24359,6,18,2010," Washington Ave & Portland St Cambridge, MA",""
24360,6,18,2010,"100 Cambridgeside Pl Cambridge, MA",""
24360,6,18,2010,"100 Cambridgeside Pl Cambridge, MA",""
