"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23762,2,4,2010," Windsor St & Cambridge St Cambridge, MA","Auto","Pedestrian",""
23763,2,4,2010," MAGAZINE ST & Allston St Cambridge, MA","Auto","Auto",""
23763,2,4,2010," MAGAZINE ST & Allston St Cambridge, MA","Auto","Auto",""
23764,2,4,2010," Broadway & Ware St Cambridge, MA","Auto","Bicycle",""
23764,2,4,2010," Broadway & Ware St Cambridge, MA","Auto","Bicycle",""
23765,2,5,2010,"168 Hampshire St Cambridge, MA","Auto","Truck",""
23765,2,5,2010,"168 Hampshire St Cambridge, MA","Auto","Truck",""
23766,2,7,2010,"575 MEMORIAL DR Cambridge, MA","Auto","Fixed Object",""
23766,2,7,2010,"575 MEMORIAL DR Cambridge, MA","Auto","Fixed Object",""
23767,2,5,2010," DAVENPORT ST &  Cambridge, MA","Truck","Auto",""
23767,2,5,2010," DAVENPORT ST &  Cambridge, MA","Truck","Auto",""
23768,2,6,2010,"535 Windsor St Cambridge, MA","Auto","Auto","Snow"
23768,2,6,2010,"535 Windsor St Cambridge, MA","Auto","Auto","Snow"
23769,2,7,2010,"20 SUFFOLK ST Cambridge, MA","Auto","Auto",""
23769,2,7,2010,"20 SUFFOLK ST Cambridge, MA","Auto","Auto",""
23770,2,8,2010,"1 Cambridge Ctr Cambridge, MA","Auto","Pedestrian",""
23770,2,8,2010,"1 Cambridge Ctr Cambridge, MA","Auto","Pedestrian",""
23771,2,8,2010," GARDEN ST & LINNAEAN ST Cambridge, MA","Auto","Auto",""
23771,2,8,2010," GARDEN ST & LINNAEAN ST Cambridge, MA","Auto","Auto",""
23772,2,8,2010,"78 MOUNT AUBURN ST Cambridge, MA","Truck","Pedestrian",""
23772,2,8,2010,"78 MOUNT AUBURN ST Cambridge, MA","Truck","Pedestrian",""
23773,2,8,2010,"1 Porter Sq Cambridge, MA","Auto","Parked Vehicle",""
23773,2,8,2010,"1 Porter Sq Cambridge, MA","Auto","Parked Vehicle",""
23774,2,9,2010," Massachusetts Ave & Vassar St Cambridge, MA","Auto","Auto",""
23774,2,9,2010," Massachusetts Ave & Vassar St Cambridge, MA","Auto","Auto",""
23775,2,9,2010," Massachusetts Ave & Hollis St Cambridge, MA","Auto","Auto",""
23775,2,9,2010," Massachusetts Ave & Hollis St Cambridge, MA","Auto","Auto",""
23776,2,9,2010," Third St & HURLEY ST Cambridge, MA","Auto","Auto",""
23776,2,9,2010," Third St & HURLEY ST Cambridge, MA","Auto","Auto",""
23777,2,9,2010," MOUNT AUBURN ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
